Secteur;Nom;Date de notification;Détail
NANTES CENTRE (Intra-boulevard);Fermeture du périphérique EST dans les 2 sens de circulation;2025-01-28T16:03:00+00:00;"La DIR Ouest nous informe : Suite à la montée des eaux du Gesvres, Fermeture du périphérique extérieur EST dans les 2 sens de circulation.  Les usagers circulant en périphérique extérieur (de la porte d'Anjou vers la porte de Gesvres) sont invités à suivre les itinéraires de substitution suivants : - ""S6"" depuis la porte de la Beaujoire pour la desserte locale- ""S8"" depuis la porte d'Anjou via l'A811 jusqu'à l'échangeur de Vieilleville Nord en direction de Rennes et Vannes pour revenir via l'A11 sur le périphérique de Nantes à la Porte de Gesvres, où ils retrouvent leur destination d'origine. Les usagers circulant en périphérique intérieur (de la porte de Gesvres vers la porte d'Anjou) sont invités à suivre les itinéraires de substitution suivants : - ""S7"" depuis la porte de Gesvres via l'A11 en direction de Paris jusqu'à l'échangeur de Vieilleville Sud puis en direction de Nantes via l'A811 jusqu'à la Porte d'Anjou, où ils retrouvent leur destination d'origine. Dans le cadre de cette inondation, les itinéraires de substitution ""S7"" et ""S8"" proposés, sont assortis d'une mesure de prise en charge exceptionnelle des frais de péage. Les usagers sont invités à se tenir informés de l'évolution des conditions de circulation : https://www.bison-fute.gouv.fr/maintenant.html Il est recommandé à tous les usagers de faire preuve de prudence, d’adapter leur conduite aux conditions de circulation et de veiller aux consignes et indications données par les gestionnaires routiers."
NANTES NORD;Fermeture du périphérique EST dans les 2 sens de circulation;2025-01-28T16:03:00+00:00;"La DIR Ouest nous informe : Suite à la montée des eaux du Gesvres, Fermeture du périphérique extérieur EST dans les 2 sens de circulation.  Les usagers circulant en périphérique extérieur (de la porte d'Anjou vers la porte de Gesvres) sont invités à suivre les itinéraires de substitution suivants : - ""S6"" depuis la porte de la Beaujoire pour la desserte locale- ""S8"" depuis la porte d'Anjou via l'A811 jusqu'à l'échangeur de Vieilleville Nord en direction de Rennes et Vannes pour revenir via l'A11 sur le périphérique de Nantes à la Porte de Gesvres, où ils retrouvent leur destination d'origine. Les usagers circulant en périphérique intérieur (de la porte de Gesvres vers la porte d'Anjou) sont invités à suivre les itinéraires de substitution suivants : - ""S7"" depuis la porte de Gesvres via l'A11 en direction de Paris jusqu'à l'échangeur de Vieilleville Sud puis en direction de Nantes via l'A811 jusqu'à la Porte d'Anjou, où ils retrouvent leur destination d'origine. Dans le cadre de cette inondation, les itinéraires de substitution ""S7"" et ""S8"" proposés, sont assortis d'une mesure de prise en charge exceptionnelle des frais de péage. Les usagers sont invités à se tenir informés de l'évolution des conditions de circulation : https://www.bison-fute.gouv.fr/maintenant.html Il est recommandé à tous les usagers de faire preuve de prudence, d’adapter leur conduite aux conditions de circulation et de veiller aux consignes et indications données par les gestionnaires routiers."
NANTES CENTRE (Intra-boulevard);FOLLE JOURNEE 2025;2025-01-23T08:09:00+00:00;Nantes Métropole vous informe: La Folle Journée 2025 à la Cité des Congrès du 29 janvier au 2 février.Pensez tram+Busway.
NANTES EST;Fermeture du périphérique EST dans les 2 sens de circulation;2025-01-28T16:03:00+00:00;"La DIR Ouest nous informe : Suite à la montée des eaux du Gesvres, Fermeture du périphérique extérieur EST dans les 2 sens de circulation.  Les usagers circulant en périphérique extérieur (de la porte d'Anjou vers la porte de Gesvres) sont invités à suivre les itinéraires de substitution suivants : - ""S6"" depuis la porte de la Beaujoire pour la desserte locale- ""S8"" depuis la porte d'Anjou via l'A811 jusqu'à l'échangeur de Vieilleville Nord en direction de Rennes et Vannes pour revenir via l'A11 sur le périphérique de Nantes à la Porte de Gesvres, où ils retrouvent leur destination d'origine. Les usagers circulant en périphérique intérieur (de la porte de Gesvres vers la porte d'Anjou) sont invités à suivre les itinéraires de substitution suivants : - ""S7"" depuis la porte de Gesvres via l'A11 en direction de Paris jusqu'à l'échangeur de Vieilleville Sud puis en direction de Nantes via l'A811 jusqu'à la Porte d'Anjou, où ils retrouvent leur destination d'origine. Dans le cadre de cette inondation, les itinéraires de substitution ""S7"" et ""S8"" proposés, sont assortis d'une mesure de prise en charge exceptionnelle des frais de péage. Les usagers sont invités à se tenir informés de l'évolution des conditions de circulation : https://www.bison-fute.gouv.fr/maintenant.html Il est recommandé à tous les usagers de faire preuve de prudence, d’adapter leur conduite aux conditions de circulation et de veiller aux consignes et indications données par les gestionnaires routiers."
NANTES EST;ZFE - NANTES - Vignette Crit'AIR;2024-12-18T16:45:00+00:00;Nantes Métropoe vous informe : La Zone à faibles émissions (ZFE) de Nantes se met en place à partir du 1er janvier 2025 à l’intérieur du périphérique de Nantes. A partir de cette date, votre véhicule doit avoir une vignette Crit’Air (certificat qualité de l’air) pour pouvoir circuler dans cette zone. - Plus d'infos sur https://metropole.nantes.fr/zfe et  https://www.certificat-air.gouv.fr/
NANTES CENTRE (Intra-boulevard);ZFE - NANTES - Vignette Crit'AIR;2024-12-18T16:45:00+00:00;Nantes Métropoe vous informe : La Zone à faibles émissions (ZFE) de Nantes se met en place à partir du 1er janvier 2025 à l’intérieur du périphérique de Nantes. A partir de cette date, votre véhicule doit avoir une vignette Crit’Air (certificat qualité de l’air) pour pouvoir circuler dans cette zone. - Plus d'infos sur https://metropole.nantes.fr/zfe et  https://www.certificat-air.gouv.fr/
NANTES SUD;ZFE - NANTES - Vignette Crit'AIR;2024-12-18T16:45:00+00:00;Nantes Métropoe vous informe : La Zone à faibles émissions (ZFE) de Nantes se met en place à partir du 1er janvier 2025 à l’intérieur du périphérique de Nantes. A partir de cette date, votre véhicule doit avoir une vignette Crit’Air (certificat qualité de l’air) pour pouvoir circuler dans cette zone. - Plus d'infos sur https://metropole.nantes.fr/zfe et  https://www.certificat-air.gouv.fr/
NANTES OUEST;ZFE - NANTES - Vignette Crit'AIR;2024-12-18T16:45:00+00:00;Nantes Métropoe vous informe : La Zone à faibles émissions (ZFE) de Nantes se met en place à partir du 1er janvier 2025 à l’intérieur du périphérique de Nantes. A partir de cette date, votre véhicule doit avoir une vignette Crit’Air (certificat qualité de l’air) pour pouvoir circuler dans cette zone. - Plus d'infos sur https://metropole.nantes.fr/zfe et  https://www.certificat-air.gouv.fr/
NANTES OUEST;Fermeture du périphérique EST dans les 2 sens de circulation;2025-01-28T16:03:00+00:00;"La DIR Ouest nous informe : Suite à la montée des eaux du Gesvres, Fermeture du périphérique extérieur EST dans les 2 sens de circulation.  Les usagers circulant en périphérique extérieur (de la porte d'Anjou vers la porte de Gesvres) sont invités à suivre les itinéraires de substitution suivants : - ""S6"" depuis la porte de la Beaujoire pour la desserte locale- ""S8"" depuis la porte d'Anjou via l'A811 jusqu'à l'échangeur de Vieilleville Nord en direction de Rennes et Vannes pour revenir via l'A11 sur le périphérique de Nantes à la Porte de Gesvres, où ils retrouvent leur destination d'origine. Les usagers circulant en périphérique intérieur (de la porte de Gesvres vers la porte d'Anjou) sont invités à suivre les itinéraires de substitution suivants : - ""S7"" depuis la porte de Gesvres via l'A11 en direction de Paris jusqu'à l'échangeur de Vieilleville Sud puis en direction de Nantes via l'A811 jusqu'à la Porte d'Anjou, où ils retrouvent leur destination d'origine. Dans le cadre de cette inondation, les itinéraires de substitution ""S7"" et ""S8"" proposés, sont assortis d'une mesure de prise en charge exceptionnelle des frais de péage. Les usagers sont invités à se tenir informés de l'évolution des conditions de circulation : https://www.bison-fute.gouv.fr/maintenant.html Il est recommandé à tous les usagers de faire preuve de prudence, d’adapter leur conduite aux conditions de circulation et de veiller aux consignes et indications données par les gestionnaires routiers."
NANTES SUD;Fermeture du périphérique EST dans les 2 sens de circulation;2025-01-28T16:03:00+00:00;"La DIR Ouest nous informe : Suite à la montée des eaux du Gesvres, Fermeture du périphérique extérieur EST dans les 2 sens de circulation.  Les usagers circulant en périphérique extérieur (de la porte d'Anjou vers la porte de Gesvres) sont invités à suivre les itinéraires de substitution suivants : - ""S6"" depuis la porte de la Beaujoire pour la desserte locale- ""S8"" depuis la porte d'Anjou via l'A811 jusqu'à l'échangeur de Vieilleville Nord en direction de Rennes et Vannes pour revenir via l'A11 sur le périphérique de Nantes à la Porte de Gesvres, où ils retrouvent leur destination d'origine. Les usagers circulant en périphérique intérieur (de la porte de Gesvres vers la porte d'Anjou) sont invités à suivre les itinéraires de substitution suivants : - ""S7"" depuis la porte de Gesvres via l'A11 en direction de Paris jusqu'à l'échangeur de Vieilleville Sud puis en direction de Nantes via l'A811 jusqu'à la Porte d'Anjou, où ils retrouvent leur destination d'origine. Dans le cadre de cette inondation, les itinéraires de substitution ""S7"" et ""S8"" proposés, sont assortis d'une mesure de prise en charge exceptionnelle des frais de péage. Les usagers sont invités à se tenir informés de l'évolution des conditions de circulation : https://www.bison-fute.gouv.fr/maintenant.html Il est recommandé à tous les usagers de faire preuve de prudence, d’adapter leur conduite aux conditions de circulation et de veiller aux consignes et indications données par les gestionnaires routiers."
NANTES NORD;ZFE - NANTES - Vignette Crit'AIR;2024-12-18T16:45:00+00:00;Nantes Métropoe vous informe : La Zone à faibles émissions (ZFE) de Nantes se met en place à partir du 1er janvier 2025 à l’intérieur du périphérique de Nantes. A partir de cette date, votre véhicule doit avoir une vignette Crit’Air (certificat qualité de l’air) pour pouvoir circuler dans cette zone. - Plus d'infos sur https://metropole.nantes.fr/zfe et  https://www.certificat-air.gouv.fr/
